,Sentences,Labels
108," @ furry ... ma janty hon ye sirf aik drama serial ha .. main bhi serial kay character ki hi baat ker rahi thi ... ye qatal - o - gharat ghulam farid ( nauman aijaz ) nay hi shroo ki thi apnay chachay ( sohail ahmed ) kay baray betay ko maar ker , phir apnay sagay baab ko bhi merwa diya nokarani kay zariye .... jab inteqaman chachay ne uss ki behen ( jeeji ) ko qatal kiya to uss ( ghulam farid ) nay chachay kay doosray betay ghulam ali ko bhi maar diya ... ghulam farid ki waja say wo nokrani bhi apni jaan say gayee jiss nay uss kay baap ko qatal kiya tha ... nokraniyon se najaez taluaqt alag hain ... apni donon behenon ki bhi shaadi nahin kerna chahta ... aisay muashary kay nasoor ( ghulam farid ) logon ko maar dena hi behter hai . khas kam , jahan paak . ",neg
109, @ hoorain siso sab thek ha bs r me thori garbar ho gai ha na ........... Islya bura buna ha.,neg
110, @ kuku20 ary recipe read kr sakta bs bna kuch nai skta :p,neg
111, @ kuku20 han kanjoss ho na i know kabhi nahi khilao gy :p,neg
112," @ kuku20 kuch nai hunhh, achi report nahi ha : thumbs down : ",neg
113," @ kuku20 muje bnana nai ata, jo banati hon bura banta ha : bucktooth : ",neg
114, @ kuku20 ye kya baat hui dil torr rahi mera : arghh : ,neg
115,a . a mere mulk kay nojawano hakomat ne sms pay tax lega ker hamare garm khoon ko pukara hain zindgi main aik hi rasta tha hum apne chahne walo say sms kay zeria baat cheet ker sakte the or wo be zardari sahab nay humarey gale gont die . dil khool ker muzamat kere hakomat ki ais ahmkana ghalti pay ta kay wo sms per tax lega ker hami maaaaaaaar na dalin,neg
116,a . a mere pyare mulk kay nojawano hakomat ne sms pay tax lega ker hamare garm khoon ko pukara hain zindgi main aik hi rasta tha hum apne chahne walo say sms kay zeria baat cheet ker sakte the or wo be zardari sahab nay humarey gale gont die . pls pakistan ke awam ko kehta ho dil khool ker muzamat kere hakomat ki ais ahmkana ghalti pay ta kay wo sms per tax lega ker hami maaaaaaaar na dalin,neg
117,a . alaikum is mai in players ki tu ghalti hai or juari manager yawar saeed ka zyada hath is kam mai sab se pehle yawar saeed ko sazza milni chahiye or agr sabit hojaye tu in players ko bhi sakht se sakht saza milni chahiye tak ke or koi players is fixing k bare mai soche bhi tu is in players ko di hue saza yad kare . hamari web ka bhut bhut thanks jo is ap action liya . ,neg
118,shaid new genration apne dil kay hatho majboor ho kay ghalat kaam na ker lay . pls voot kere or hakomat ko yeh kaam kerne say roke . ,neg
119,a . o . a muj ko bohet dukh howa kay hakomet nay tax lagia . ager ye ho gia tou hamare pass or kuch nahi rahe ga or mobile choot jai ga jiss say zindagi kay din pore kerna hi sirf hamara maqsad ho ga .  ,neg
120,a . salam . w * 14feb ko log is tarha manatay hai colleges ka bahir university ka gaat par sorry for that mujhay is din sy nafrat ha,neg
121,a6a ni hua jo dafa ho gya ...' khas kum jahan pak '... lekin agr itna hi gussa ha to uthwa na len isy isi se keh kar ? ,neg
122,"a6a to ye cell phone wala scene aap k 7 b hota ha ?... mjy laga k mein hi aesa karta hun ... and wakaee aaj to news channel hi lgana chaye tha bcz aamir liaqat ka so - called zameer jaag gya ... kal se bakwas kar raha tha ... 1 raat rangers k 7 guzari to hosh aa gya ... rangers ne kaha , ' zara yaad kar ' aamir liaqat tu kya kar raha hapakistan zindabad",neg
123,"a6a ... ub samaj aai k nauman ijaz women clothing per lecture qn dy rahy thy .... article open krny se pehly yaqeen tha mjy k mawra zaroor ho gi is mein , 2nd hand meera ha wo b ... qb to tom boy hay so she looks ok ... aur truck art asim ki jacket se b zyada khoubsurat hota ha ... btw aap ne zardy ki plate maya ali ko miss kar diyawonderful article , thank you very much zahra and fatima",neg
124,aab to quam per ahsan kar lo lotero > itna kma choke ho k nasle khatem nahi kar sakti,neg
125,aap to mulk mn tbdeeli lana chahty thy kia ye tbdeeli hy k aik katil aor hero mn frq nhi kr skty,neg
126,aaaaaaakh thuuuuuuuuuuuuuuuuuuuuuuuu on your mooooonh originally posted by muqadas,neg
127,aaj kaa faisla halali aur ghair haslali honay kaa faisla hogaa judges ke wastay,neg
128,adalat nay yousaf raza geelani ko kam az kam 3 month ki saza daini chahiyay thi meray khayl k mutabiq judgues nay faisla under presure hu kar diya hai jis say koi bhi ittifaq nai karta aitzaz ahsan ko tu bohat zyada paisay milay hain ya in ka bohat bara chaila hai main tu bass ye kahun gaa ( k bass thora sabar q k jabar k din bohat kam hain ) ,neg
129,aeise parogarm chalne hi ni chahiye,neg
130,afridi ... ab too patli gali se nikal le ... apni shakal nahen dekhana ... media ko,neg
131,"agar zardari ka beta qatal hota to mein dekhta k zardari kia karta ,,,,, meri pakistani awam see guzarash hee k kisi hukamran ko voot na do ,,,, remand devas ne jab katal kia tha to pakistan awam wahan mojud thi un logoon ko chaye tha k remad ko b wahan he katal kar dety ,,,, yeh hukamran pakistan k nahi hen sab pakistani logo bahir niklo aur in begerat hukamranoon ko misar ke tarha dafa kar do ,,,,,,,, ",neg
132,agar zulkarnanin na jata to pakistan ye match na harta or na pakistan ki itni beizzati hoti agar is ko kisi ne dhumki di thi to us nay pakistan ke sath acha nahin kia . woh hum sub ka dushman hai . inshallah jald hi pata chal jai ga . ,neg
133,agr thori si ghrat ho to cricket se dora ho jao,neg
134,"allah ( s . w . t ) khair kare , kia aakhiri saansay le rahe ho hamid mir",neg
135,"allah , ye topic aur kitnay threads mein discuss ho raha hai, bura topic ha ... : wideyed : ",neg
136,allah is mulk ke 17 karor awam ke gooongi behri parliment ko awam ke haqooq ki khatar awwaz buland karny ki tofeek de ... !! ,neg
137,allah ka shukr hay bijli ki qeemat barhaany or zalimaana slab system per ehtjaaj main pakistan ki ladies bhi shamil ho gai hain ... uk ke dr sahib ki positive baton se umeed thi ke awam jaagy gi ... lekun hamain parliment main baithy har us shaks ko jagaana hay ( jiss ne khuda ko jaan deni hay )... allah in ba - ikhtiaar numa be - bus logoon ko tofeek de ke woh bijli ki zalimaana slaib jo 101 units se hi bijli 4 . 96 rupees karny per awwaz buland karein ... ab suna hay 101 units se hi bijli 5 . 36 rupees per unit ki ja rahi hay .... ( to sochen bill kitna aaye ga ) ???? ,neg
138,"allah karam hi kare is country pe .... mazk bana k rakh dea hi education ko .... ye log bacho ki base hi kharab ker dete hein to un se agay kya umeed kare ge k wo is mulk ka future hooo ........... her saal combine / seperate ka hi shoor hota he koi haal nhi in k pass to ghar mein hi beth jaye humra futre to secure rehne de .... apne bacho ko uk main parhate hein hum logo ko yahan hi musbeebat mein daal rakha hi ..... don , t mind it .... its a reality .......... ",neg
139,"allah kry pakistan ma apni movies r b achi bna start ho jaen r un ma pakistani culture ko he promote kia jaey na k westrn culture ko, abhi tak to western culture hi promote ho raha ha﻿",neg
140,"allah ....: nailbiting : kon bnaye kon khilaye, mazoor ho ker reh gya hon ..: eek ::(:p",neg
141,amir liaqt shayd bhool raha hai k junaid jamshaid ne muafi mangi hai .. or us ka hisaab allah krne wala muafi dainy wala wo .. ye qun apni zubn gndi kr raha or gali etc it ' s not good,neg
142,anp ne karachi ki halat kharab kar ke rakhdi hai gulistanejohar mein jafe flates aur plots peh anp walon ne qabza kiya hoa hai sponsored links,neg
143,"aoa ! govt ka bas nahi chalta ka wo gharib awam ko kis kis tarah say lootay ? jo cheezin sasti hain un pa tax laga dia , kuch danay k bajay ulta awaam say cheeney jarahe hain . mera khayal mai yah govt nay bohat ghalat kaam kiya hai sms pa 20 paisa tax laga ky . ",neg
144,aoa zardari sahab hamarai mulk kay sath kia kerna chahta hain . aik taref say hatay tou dosre terf say hamre zindagi ko tourcher ker raha hein ab bijli ka berhna kabhi a ker aik martba hamare ghero main reh ker daikhe tou nani yaad a jai gi kabi zindgi hamara hokmran kaha say doond ker lay atti hain hamrai awaam pata nahi kon log voot daite hain ain ab allah hafiz hain ager aik or zardari a jai hamre hakoomit main pls pur zoor muzamit kere bijli ke berahanay mai . ,neg
145,aoa ! facebook hum musalamano ko apne deen se gumrahi ki taraf le ja rahi hai issey band kar dena chahiye,neg
146,aoa ! facebook ko band hona chahya kyounka ye sab ko khusasan musalmano ko gumrah ker rahi ha,neg
147,aoa ! facebook ko band kar den is se sirf students ki parhai mutasir nahi ho hri balke saare boys kharab ho gaye hain na apni fience ka khayal karte hain na hi apni wife ka is liye khuda ke liya ise band kar den thanx,neg
148,aoa . mera ye manna hai k gharyan aage karne ka faisla bilkul ghalat hai kyon k pakistan main har waqt koi na koi musibat aae rehti hai kabhi doubble sawari pe pabandi aur kabhi kuch is lye mera manna hai k bilkul ghalat hai,neg
149,"aoa .. dear countrymates , aj nawaz sahab ny abtabad ma kafi bary ijtimah k samny bary josh ma speech di aur kaha k uny kursi ki lalach nai . yaar nawaz paaji apko aik month pehly zardari uncle ma q koi kharabiyan nazar nai aaien . abi apki seat gai to mulk ko aik dam khatra lahak ho gya ... amazing !!! and zardari should b kicked off 4m pakistan ( our beloved country ) ",neg
150,"aoa ... wiki leaks , jo bhi hai such hai ya jhoot hai . is mei america ka koi mufaad hai mujhe is se koi garz nahi .. mujhe garz hai tou iss baat se hai ke hamare politicians apne mulk ke kitne kher khua hain . barey dukh aur sharam k sath k ye mulk ke wafadar nahi . america ko bura kehte hain . atleast apne mulk ke faithful to hain ... wiki leaks se iss baat ka aur bhi gehraa yaqeen ho gaya k ye mulk o qoam k dushman hain",neg
151,aoa ... ham sb muslmano k lie yh 1 almie se kam ni k kafar log jb chae hm muslno k0 use kr skte he kia hamri apni koi soch ni kia ... exmple ab ap saudi arabia ko dekhe itni bri muslman country hone k bawjood is ke hukmran amrici hukmrano k talwe chatte he me to kehta ho dunia me koi mulk sulute k kabal he to wh iran he yh woi log he jin k andr imani taqat majoood he,neg
152,arey zalimo ...... abi be koi kasar baqi ha is mulk ko aur azabon me mubtila karne ki ...!! tumhara mulk duuuub raha ha aur ye sirf tumhare amaaal ki waja se !!!!! arey ab to kuch aqal k nakhun lo !! ye sarif gumrahi aur mulk k youngsters ko mazid khharab karne ki sazish ha ... valentines day is not in islam .. therefore it shud not b celebratd !!!! ,neg
153,ary & amp ; geo ki jang abhi tak jaari hai . dono channels walay bachchon ki tarah lartay hain . ab agar pakistani aur indian channels kaa bhi tournament hojaye to bara maza aaye . :) ,neg
154,"as salam gulamo , pakistan khape , ap sab ko gulami ki buht buht mubarek hai , janb ap ye na soche k sirf ramin davis ko raha kar deya to bus , zera socho k aik din ma jo droon hamle se 80 afrad halak howe hain us k baad ma pakistan ka kya bane ga , ager aik admi k badle aik khud kash dahmaka b howa to paher pakistan ka kya bane ga , acha mere gulamo bahio apna kheyal rekhna , ",neg
155,as salam o alaikum meray khayal me gair muslimon k nazdeek sirf or sirf musalman hi dehshatgard hain . is me america or india samet kai countries shamil hain . ye baat sirf un non muslims k lye he jo aesa sochte hain . baaqi is se mustasna hain . hamaray mulk k jo president ya doosre leader jo kisi doosre k kehne pr musalman ka khoon kr rahay hain to ghalat hain . ,neg
156,as salam o alaikum mouda dor or is se pehlay ki jo hukomat i he us ko sirf awaam vote de ker muntakhib kerti he . or jab hukomat in k mayar per poora nhi utarti to awaam shor machati he . natija ye hota he kk assembly toot jati he or new party hukomat banati he . wo pehlay se zyada awaam pe zulm o sitam kerti he . phir hukomat hata ker fouj aati he . wo az saray no election kerati he to awaam 1st walay ko chun leti he . halan k jab awaam janti he k is govt ne pehlay kitna zulm kya to ab kitna karay gi . lihaza kharab hukoomat k laanay k pooray pooray zimedar sirf hm awaam hain . ham logon ko ab kisi new ko chunna paray ga . nahi to phir awaam ko shor machane k bajaye khamosh tamashai ban k rehna chahiye . ,neg
157,as salam o alaikum !! facebook ka koi faida mujhay tu aaj tak nazar nai aaya ... haan time zaya krna hai tu ye aap k liye tb behtareen sabit ho gi .. bas pix dekh lo . vdoz share kr lo ... commnts diye ` liye .. kuch kam ka nai hai ... ooper se fzool kisam k game nd qz .. jin mei aap aik bar involve ho jain tu indian soaps ki trha wo ap ki jan kbi nai chorte ... bas addiction hi hoti hai,neg
